range, tpr, tnr
0,0.99,0.99
10,0.99,0.99
20,0.99,0.99
30,0.99,0.99
40,0.99,0.99
50,0.99,0.99
60,0.99,0.99
70,0.99,0.99
80,0.99,0.99
90,0.99,0.99
100,0.99,0.99
110,0.99,0.99
120,0.99,0.99
130,0.99,0.99
140,0.99,0.99
150,0.99,0.99
160,0.99,0.99
170,0.99,0.99
180,0.99,0.99
190,0.99,0.99
200,0.99,0.99
210,0.99,0.99
220,0.99,0.99
230,0.99,0.99
240,0.99,0.99
250,0.99,0.99
260,0.99,0.99
270,0.99,0.99
280,0.99,0.99
290,0.99,0.99
300,0.99,0.99
310,0.99,0.99
320,0.99,0.99
330,0.99,0.99
340,0.99,0.99
350,0.99,0.99
360,0.99,0.99
370,0.99,0.99
380,0.99,0.99
390,0.99,0.99
400,0.99,0.99
410,0.99,0.99
420,0.99,0.99
430,0.99,0.99
440,0.99,0.99
450,0.99,0.99
460,0.99,0.99
470,0.99,0.99
480,0.99,0.99
490,0.99,0.99
500,0.99,0.99
510,0.99,0.99
520,0.99,0.99
530,0.99,0.99
540,0.99,0.99
550,0.99,0.99
560,0.99,0.99
570,0.99,0.99
580,0.99,0.99
590,0.99,0.99
600,0.99,0.99
610,0.99,0.99
620,0.99,0.99
630,0.99,0.99
640,0.99,0.99
650,0.99,0.99
660,0.99,0.99
670,0.99,0.99
680,0.99,0.99
690,0.99,0.99
700,0.99,0.99
710,0.99,0.99
720,0.99,0.99
730,0.99,0.99
740,0.99,0.99
750,0.99,0.99
760,0.99,0.99
770,0.99,0.99
780,0.99,0.99
790,0.99,0.99
800,0.99,0.99
810,0.975,0.975
820,0.95,0.95
830,0.925,0.925
840,0.9,0.9
850,0.875,0.875
860,0.85,0.85
870,0.825,0.825
880,0.8,0.8
890,0.775,0.775
900,0.75,0.75
910,0.725,0.725
920,0.7,0.7
930,0.675,0.675
940,0.65,0.65
950,0.625,0.625
960,0.6,0.6
970,0.575,0.575
980,0.55,0.55
990,0.525,0.525
1000,0.5,0.5
